probIn scale
0.3274802 0.0527609
0.3541755 0.05539497
0.3506715 0.0549241
0.3775208 0.05259562
0.3929643 0.04959989
0.4229392 0.04527114
0.4468237 0.04436021
0.4415059 0.04528653
0.4851026 0.04397914
0.5385785 0.04193126
0.529711 0.03820224
0.5529119 0.03925129
0.5837866 0.03795519
0.6101647 0.03524892
0.5501012 0.03361871
0.5642756 0.03435797
0.4455895 0.03557068
0.3872968 0.03804442
0.3555138 0.04059794
0.402809 0.04291409
0.4468229 0.04250402
0.4413667 0.04797606
0.4906185 0.04723106
0.4789458 0.04995794
0.5296376 0.05792612
0.5394897 0.05577894
0.5538786 0.05296154
0.5690226 0.05244787
0.580284 0.04973
0.5589542 0.04823773
0.486475 0.04740958
0.475319 0.05136979
0.5093666 0.04995122
0.4762659 0.05020189
0.4891879 0.04711294
0.4894917 0.04091098
0.4292819 0.04127084
0.4657649 0.04208886
0.5283961 0.04115248
0.5283765 0.03819284
0.5336799 0.0404592
0.5213383 0.03848762
0.5191688 0.03969575
0.5379413 0.04114269
0.4880304 0.0416745
0.4240471 0.03894949
0.4131858 0.03420511
0.4253658 0.03527259
0.4843573 0.03608639
0.5321439 0.03852478
0.4870642 0.0398474
0.3819445 0.03616866
0.4467544 0.03740719
0.4461237 0.03367259
0.5033194 0.03270829
0.5118629 0.03609543
0.4803845 0.03861065
0.540021 0.04089578
0.5542103 0.04024434
0.485409 0.03787266
0.5211113 0.03924495
0.4288957 0.04077572
0.4301668 0.03873547
0.4190592 0.04003619
0.560801 0.03800684
0.4560609 0.03702543
0.4715445 0.03854675
0.3856099 0.03973276
0.371099 0.03882358
0.4298105 0.04027847
0.4385759 0.03714348
0.47808 0.03850327
0.4285827 0.04055338
0.4344593 0.0430635
0.4037207 0.04444522
0.4130879 0.04848049
0.4312173 0.04928219
0.4169783 0.04945966
0.46664 0.04933447
0.5584605 0.04820313
0.5528694 0.05062088
0.5549056 0.04879648
0.6010022 0.05056753
0.5146128 0.05067535
0.3840646 0.05587531
0.3616429 0.05799195
0.4206407 0.0523749
0.3536549 0.05316213
0.4353152 0.04558651
0.4418714 0.04169397
0.4688095 0.04181354
0.4062751 0.03930279
0.4170769 0.03615317
0.4257209 0.03732278
0.4529349 0.03954517
0.4700138 0.03854457
0.4951678 0.0434372
0.4420989 0.04138384
0.4027221 0.04021494
0.3982266 0.0371657
0.4863653 0.03416967
0.4819394 0.0381397
0.5243655 0.03706357
0.5397409 0.03757062
0.4801108 0.03760965
0.5507117 0.03796769
0.6144939 0.04142651
0.5896986 0.04015442
0.5899344 0.03942644
0.5580429 0.04234609
0.5633253 0.04253123
0.4733149 0.04059398
0.4617194 0.04318104
0.4470038 0.04019888
0.4074549 0.03919071
0.3749144 0.03766073
0.3853145 0.03779527
0.3921875 0.03837429
0.4333702 0.03797722
0.4334334 0.03640253
0.4817671 0.04034043
0.4865039 0.03672598
0.4140319 0.03951537
0.449216 0.03796385
0.5028453 0.03798331
0.5165337 0.03531787
0.5667533 0.03430421
0.5872218 0.03110571
0.6147261 0.02984802
0.6807257 0.0310797
0.6539353 0.03016004
0.6576338 0.02673094
0.6126289 0.02471969
0.6293276 0.02680727
0.5772294 0.02847795
0.5984487 0.02861594
0.5197442 0.02966361
0.6031182 0.02967897
0.5853834 0.03231303
0.6004965 0.03084703
0.6113603 0.03141569
0.5232245 0.03090564
0.5679906 0.03386673
0.5671814 0.03649514
0.5018642 0.03695113
0.4469054 0.03741437
0.4597687 0.04321837
0.4364164 0.04036819
0.463406 0.04123438
0.4775576 0.04355383
0.6009449 0.04445803
0.5879961 0.04804809
0.6558175 0.05183703
0.7204719 0.0501894
0.7081275 0.04976825
0.6921449 0.04891006
0.7547695 0.04330941
0.6644751 0.03963883
0.6473933 0.04167218
0.6425263 0.04113231
0.5540831 0.04118625
0.5538607 0.03955637
0.5690363 0.03648025
0.5910977 0.0344712
0.5786369 0.03738394
0.5236491 0.0365024
0.54461 0.04039761
0.5739881 0.03996576
0.5384045 0.03479668
0.6454884 0.03388354
0.6746543 0.03535251
0.6890005 0.03459208
0.6741055 0.0324205
0.6898362 0.03311022
0.6936951 0.03067669
0.7152927 0.03159804
0.6885483 0.0319314
0.6901713 0.03135345
0.7109689 0.03275521
0.7269911 0.0341594
0.6522505 0.0372821
0.6896175 0.03706335
0.723484 0.03474434
0.6981466 0.03722116
0.7018044 0.03428398
0.6558745 0.03673926
0.6388664 0.03625512
0.5952869 0.0363136
0.5740037 0.03355696
0.6522175 0.03467887
0.6856263 0.03683771
0.6822754 0.0355095
0.6932693 0.03847504
0.6630928 0.03933444
0.6404116 0.03538771
0.6094618 0.03763682
0.5893922 0.03530115
0.6263487 0.03648753
0.6380358 0.03446393
0.5941522 0.03440864
0.6264558 0.03313521
0.6628948 0.03524657
0.5997348 0.03846246
0.5541593 0.03458803
0.5327966 0.03296651
0.4946353 0.03678011
0.5256794 0.0381006
0.4898844 0.03780077
0.5281141 0.0385491
0.5455006 0.03694137
0.5226159 0.04041412
0.5105696 0.04046684
0.4597313 0.0381077
0.4179787 0.04113607
0.3725398 0.03877939
0.3685132 0.03892429
0.3879895 0.03721727
0.3854382 0.04083198
0.3529175 0.03830767
0.297502 0.03699141
0.2675909 0.03400812
0.28008 0.03453151
0.3459447 0.03107291
0.3330906 0.03055393
0.3148414 0.02928769
0.2698796 0.03198355
0.3399539 0.03263513
0.373658 0.03482315
0.3686077 0.03364091
0.4036627 0.03575402
0.4681948 0.0372696
0.472298 0.03727479
0.5085389 0.03678149
0.5575431 0.03830626
0.5394465 0.03973709
0.473308 0.04539172
0.4190882 0.04427907
0.5489734 0.04146887
0.555596 0.03954743
0.5546322 0.03933405
0.5196115 0.03910841
0.5334126 0.0397157
0.5190559 0.03352361
0.5319597 0.03650261
0.4414824 0.03422752
0.3843417 0.03421706
0.3823143 0.03753641
0.375562 0.03390902
0.4517655 0.03425801
0.398189 0.0332983
0.4473074 0.03658308
0.4392637 0.03773593
0.5179653 0.03952976
0.5594812 0.03665175
0.5932435 0.03524863
0.5636529 0.03420627
0.5051531 0.03435274
0.5154937 0.03445371
0.4787835 0.03356928
0.5243217 0.03171577
0.5804507 0.03011289
0.5926974 0.02917088
0.6085456 0.0281902
0.6090928 0.0280521
0.560206 0.02628054
0.5801741 0.02883115
0.518251 0.0298493
0.5848255 0.03517389
0.6327455 0.03441741
0.5564382 0.03395233
0.6096227 0.03500362
0.5813594 0.03595817
0.5482034 0.03570013
0.6023077 0.03365763
0.5799622 0.03318719
0.6131707 0.03008264
0.6838334 0.03074089
0.6713643 0.02945496
0.6702479 0.03146311
0.6626969 0.02951728
0.6862845 0.02891225
0.6770303 0.02956481
0.6397128 0.0295479
0.67053 0.02753998
0.6199827 0.0283729
0.6761207 0.02886573
0.6101837 0.03345729
0.6541462 0.03461147
0.6169803 0.03356068
0.5995504 0.03956246
0.5274162 0.03680105
0.5025346 0.03785478
0.5263023 0.03945636
0.5937228 0.03831483
0.5941713 0.0367024
0.5605944 0.03409016
0.5739259 0.03384779
0.5587136 0.03238711
0.5180805 0.03088546
0.6333803 0.02892476
0.5959581 0.02617064
0.5944367 0.02564656
0.5626844 0.02634211
0.574167 0.02441269
0.5952789 0.02788944
0.635624 0.02918065
0.5776382 0.03029239
0.59991 0.03185839
0.6415385 0.03063754
0.568919 0.03214285
0.5595274 0.03186825
0.5774565 0.03075779
0.6133874 0.03072687
0.6094694 0.0324573
0.5669692 0.03200095
0.5504821 0.03307253
0.5305876 0.03308061
0.5887366 0.02630761
0.5334126 0.02609722
0.5314835 0.02713701
0.5925579 0.02573531
0.4938533 0.02875234
0.5426799 0.02781888
0.5951388 0.02990327
0.6530185 0.02963639
0.6663761 0.02824508
0.6357075 0.02688765
0.6790013 0.02612737
0.5913076 0.02696296
0.6555741 0.02587302
0.5825992 0.02725125
0.6265789 0.0282791
0.5649421 0.02674231
0.4516844 0.02910707
0.4704987 0.02974157
0.5335836 0.02871455
0.5088768 0.02500553
0.5003552 0.02528913
0.5570851 0.02525953
0.5615235 0.02527276
0.5845594 0.0248653
0.5904417 0.0245548
0.618209 0.02558409
0.6642546 0.02659391
0.6424048 0.0231121
0.6567566 0.02300976
0.7011651 0.02384131
0.7597635 0.02246882
0.6340871 0.02362427
0.5969842 0.02413446
0.6404492 0.02336804
0.6291922 0.02295034
0.6739815 0.02523634
0.7051082 0.02455417
0.7902435 0.02602608
0.7650979 0.02515898
0.7819595 0.02268934
0.7919951 0.02473713
0.8287191 0.02506769
0.7831886 0.02814965
0.7722041 0.0253142
0.7523144 0.02453722
0.73198 0.02498509
0.7166634 0.02458089
0.7559816 0.02376378
0.7162976 0.02272921
0.8066651 0.02012391
0.8369302 0.02010206
0.8482391 0.01830739
0.8481137 0.01878872
0.8186056 0.01903236
0.7995408 0.01778926
0.7691017 0.01830659
0.716659 0.02018249
0.7397411 0.02224756
0.745649 0.0226263
0.7987159 0.02360262
0.7895535 0.02244791
0.7363474 0.02110104
0.7589763 0.02055238
0.6735178 0.01962965
0.6437125 0.02147647
0.6527991 0.0220148
0.6205348 0.02306483
0.66129 0.0223689
0.6698608 0.02089817
0.6114317 0.02071418
0.5520168 0.01987998
0.5547798 0.01932099
0.5611598 0.02075422
0.5874829 0.02125962
0.5761183 0.02206149
0.6666903 0.02224246
0.6024065 0.02307519
0.6328977 0.02287561
0.6596904 0.02141829
0.5695719 0.02376566
0.5618393 0.02242456
0.6510231 0.0227606
0.6433939 0.02188262
0.6885921 0.02419057
0.6676288 0.0248853
0.6745446 0.02555352
0.7415157 0.02608905
0.725921 0.02583932
0.7038875 0.02586186
0.762689 0.02534144
0.709451 0.02485514
0.6521075 0.02530483
0.6319703 0.02569296
0.6204928 0.02727276
0.5701858 0.02857386
0.5534606 0.0278726
0.64411 0.02836758
0.6697085 0.0287134
0.6776479 0.02687872
0.6726765 0.02765526
0.5662449 0.02733276
0.5815788 0.02594899
0.5915273 0.02748711
0.5508972 0.02654053
0.5685999 0.02599293
0.5230466 0.02540959
0.5758419 0.02436783
