GAH1_2022 GAH1_2023 IAH1_2022 IAH1_2023 IAH2_2022 IAH2_2023 ILH1_2022 ILH1_2023 INH1_2022 INH1_2023 MNH1_2022 MNH1_2023 MOH1_2023 MOH2_2022 MOH2_2023
-4.119456 -1.93397 2.237497 3.532486 0.5813232 1.070572 2.421348 1.949414 2.788814 3.766867 2.659533 2.277743 -0.635713 -2.377547 0.4126218
-3.988427 -1.887358 2.146128 3.143204 0.5090737 0.730545 2.178445 1.69864 2.583202 3.685908 2.563737 2.219182 -0.6719829 -2.812937 0.4112562
-4.507722 -2.43098 1.936332 3.391892 0.2181987 0.6308943 2.093244 1.704261 2.595925 3.664814 2.758507 1.975561 -0.8139285 -2.674703 0.2784478
-3.987392 -1.833037 2.2147 3.310604 0.3909483 1.223177 2.441181 1.864215 2.876658 3.76636 2.795329 2.193959 -0.8416077 -2.406162 0.7958931
-4.105505 -1.730069 2.117791 3.817654 0.7651446 1.352463 2.444558 2.013975 3.021267 3.791752 3.111337 2.575438 -0.6228163 -2.326354 0.6074956
-4.027417 -1.834964 2.115288 3.426087 0.6055153 1.092024 2.476645 2.043629 2.831645 3.947371 2.830539 2.232644 -0.6755881 -2.303532 0.6012624
-4.01183 -2.033265 2.213108 3.439405 0.4171467 0.8799394 2.303654 1.77707 2.79122 3.581716 2.826477 2.136972 -0.7755781 -2.676627 0.5102301
-3.828771 -1.774569 2.308601 3.616015 0.7061516 1.1591 2.584819 1.980259 2.943464 4.070886 2.80252 2.117172 -0.3843993 -2.632685 0.5089484
-4.070914 -1.853766 2.363467 3.309733 0.537939 1.02551 2.288655 2.066694 3.119189 3.540132 2.805011 2.214772 -0.5499323 -2.423033 0.3947381
-4.021136 -2.037261 2.27791 3.447232 0.4140019 1.107554 2.286948 1.9874 2.749634 3.676078 2.664849 2.233784 -0.7149809 -2.600271 0.440609
-4.17415 -1.929386 2.338079 3.62419 0.5358071 1.011274 2.094018 1.741037 2.934019 4.019123 2.677063 2.294668 -0.6259993 -2.37005 0.5063948
-4.198607 -2.125955 2.383787 3.328851 0.33111 1.042767 1.982629 1.704461 2.459092 3.697576 2.917658 2.108428 -0.4929739 -2.528068 0.399185
-3.908805 -1.821752 2.169371 3.402488 0.4138703 1.153633 2.459128 2.086957 2.806097 3.576336 2.54348 2.468117 -0.5950693 -2.516571 0.4654393
-4.100474 -2.083015 2.036101 3.332622 0.6080546 0.9150381 2.093803 1.77671 2.977355 3.631232 2.720591 2.144749 -0.4971721 -2.625553 0.3437135
-4.381946 -2.033717 2.048212 3.519797 0.4582848 0.8479454 2.175598 1.843081 2.656065 3.578066 2.6312 2.0836 -0.7442001 -2.965887 0.3881989
-4.003998 -2.011992 2.166927 3.322145 0.6430945 1.107902 2.447069 1.881309 2.81645 3.893214 2.691561 2.265313 -0.7859916 -2.708395 0.5286758
-4.100602 -1.903868 2.089033 3.314703 0.6755561 0.9207362 2.531708 1.862248 2.664144 3.559014 2.689026 2.144196 -0.5465436 -2.731189 0.2222734
-4.651479 -2.182543 1.778431 2.900839 0.0874816 0.667967 2.12952 1.362213 2.554391 3.39628 2.379439 1.870852 -0.8407079 -2.761019 0.09523704
-4.53369 -2.315081 1.882502 3.087808 0.2103852 0.7250981 2.176606 1.612847 2.626121 3.624403 2.406945 1.774681 -0.8871642 -2.77479 0.227137
-4.275109 -2.127978 1.845513 3.054107 0.3088743 0.7731235 2.041629 1.690838 2.710344 3.476623 2.327033 1.864088 -0.971518 -2.578035 0.003826286
-4.567427 -2.348341 1.712369 3.089738 0.2739533 0.479862 1.883418 1.392871 2.403293 3.204661 2.265677 1.707566 -1.06241 -3.032554 0.05713372
-4.745149 -2.552363 1.472454 2.85968 -0.1334727 0.3958358 1.742099 1.328967 2.171953 3.15777 2.220685 1.647676 -1.356497 -3.050618 -0.08363317
-4.475511 -2.198724 1.866096 3.10187 0.323259 0.720713 2.082142 1.594175 2.671524 3.635874 2.534732 1.975637 -0.8430624 -2.739797 0.2396634
-4.079523 -1.831354 2.075915 3.345987 0.6184732 1.051768 2.391593 1.943186 2.891047 3.817446 2.915876 2.384267 -0.6493792 -2.54127 0.6054735
-4.08197 -2.087694 2.085239 3.091036 0.4976478 1.031044 2.313853 1.843921 2.924376 3.751371 2.745033 2.180017 -0.9001183 -2.592675 0.4459866
-4.319201 -2.201364 2.150893 3.273178 0.4198293 1.012305 2.388929 1.783176 2.900968 3.649275 2.724906 2.293061 -0.7922829 -2.690187 0.3342178
-4.386033 -2.132977 2.026238 3.210591 0.6219044 0.8670496 2.348901 1.678801 2.75798 3.395403 2.452414 1.977325 -0.7295678 -2.645398 0.2892742
-4.514296 -1.89285 2.152045 3.466797 0.451838 1.042491 1.980597 1.930527 2.505645 3.721465 2.624579 1.867152 -0.7048079 -2.749559 0.2898296
-4.274421 -2.207213 2.25648 3.067017 0.3236518 0.8062787 1.99161 1.637879 2.638496 3.669617 2.476445 1.88215 -0.8626942 -2.830941 0.3776037
-3.884839 -1.826893 2.14218 3.580792 0.7573106 1.114287 2.342307 1.955125 3.13852 3.751156 2.722003 2.419273 -0.624806 -2.54975 0.3569005
-4.529349 -2.177013 1.842109 3.09818 0.2018056 0.5367825 2.042551 1.567158 2.634408 3.447564 2.383671 1.837475 -0.920182 -2.989509 0.2350146
-4.444621 -2.129049 1.986563 3.065641 0.3989322 0.5345793 1.910827 1.277534 2.639006 3.513903 2.586624 1.919187 -0.8843529 -2.813954 0.214584
-4.354654 -2.100637 2.175783 3.381731 0.3166824 0.695016 2.269502 1.559841 2.771764 3.746862 2.467306 2.066402 -0.8374069 -2.645131 0.02542202
-4.369665 -2.30169 2.230618 3.235601 0.430729 0.9163217 2.013964 1.87305 2.629208 3.489415 2.59258 1.975096 -0.9669911 -2.705072 0.2760124
-4.181519 -2.226498 1.864817 3.322864 0.3092893 0.8690893 2.118431 1.884233 2.547201 3.552754 2.672781 2.042567 -0.9261209 -2.779957 0.4631608
-4.235679 -1.88158 2.376224 3.401284 0.5607456 0.9104709 2.215357 1.787543 2.833986 3.9442 2.77205 2.082307 -0.6864696 -2.586926 0.606973
-4.154834 -2.090146 1.906971 3.311913 0.548739 0.7365111 2.310752 1.744789 2.683016 3.55355 2.353401 2.13841 -0.8907196 -2.508926 0.6070534
-4.553629 -2.267683 1.705961 3.100633 0.291294 0.8614602 2.138664 1.342872 2.433527 3.47666 2.328915 1.751526 -0.8230444 -2.927371 0.2079201
-4.527293 -2.330025 1.561939 2.973645 0.2698381 0.6443218 1.81721 1.535859 2.480748 3.326095 2.261987 1.774938 -0.7762424 -3.080665 0.006487163
-4.596372 -2.527972 1.703031 3.123852 0.3324058 0.6402712 1.68429 1.473529 2.415969 3.209716 2.217113 1.798645 -1.105239 -3.227686 -0.1055019
-4.691544 -2.174473 1.894284 3.116189 0.1964155 0.6890457 2.066289 1.548451 2.748064 3.440934 2.340113 1.972352 -1.123957 -2.713214 0.186364
-4.230808 -2.401907 1.816013 2.996878 0.3020926 0.5813108 2.13314 1.473005 2.37437 3.400271 2.5476 1.852322 -0.8855612 -3.006514 0.03370057
