probIn scale
0.6935023 0.02275854
0.6598626 0.02267905
0.6009599 0.02219321
0.5883586 0.0232609
0.622362 0.02008917
0.6062789 0.02039124
0.6396507 0.01915485
0.6525409 0.02099058
0.6541261 0.02146471
0.7127528 0.02216295
0.6703396 0.02373531
0.7009506 0.02382834
0.6762972 0.02407767
0.6866626 0.02350472
0.6711612 0.02483511
0.6213273 0.02542772
0.5427669 0.02689703
0.5314602 0.02399155
0.5415569 0.0253266
0.6134784 0.02508923
0.6316782 0.0247914
0.6601998 0.02528232
0.6695864 0.02634709
0.693226 0.02756217
0.611694 0.02627907
0.5523701 0.02642603
0.5706794 0.02883773
0.5191974 0.02941612
0.5504577 0.02732901
0.5550351 0.0289877
0.5628404 0.02929489
0.5681049 0.03062457
0.606656 0.03165119
0.5809556 0.03094786
0.6029693 0.03276807
0.6372588 0.03386513
0.6778019 0.03362482
0.6196474 0.03171863
0.6052364 0.03036421
0.6562787 0.03237366
0.6073554 0.0305979
0.5772417 0.02991427
0.5138523 0.03027226
0.4822992 0.02929135
0.5563856 0.03310582
0.4712373 0.0330685
0.5599409 0.03529221
0.5133813 0.03220432
0.5533179 0.0309828
0.5735745 0.03491404
0.5497245 0.03299974
0.4501766 0.03288057
0.4172748 0.03380743
0.3981086 0.03571905
0.4394008 0.03618149
0.4407323 0.03666307
0.4549322 0.03976471
0.5627979 0.04190128
0.5548422 0.04338123
0.5838763 0.04053901
0.5127635 0.04201852
0.5126026 0.04062262
0.4754649 0.0424339
0.43642 0.03928936
0.5340515 0.04094544
0.6287443 0.03893019
0.6271559 0.03652849
0.6623122 0.03318507
0.6450067 0.03493078
0.6097152 0.03299217
0.6615525 0.03125559
0.5946192 0.03240518
0.6359536 0.02799759
0.7216338 0.02745259
0.6554481 0.02761563
0.6288918 0.02875678
0.6275789 0.0285352
0.6138587 0.02919725
0.6676507 0.02711322
0.7110975 0.0275484
0.7284938 0.02865876
0.6230628 0.02610889
0.6199949 0.02690606
0.5915548 0.02840155
0.6132487 0.02782183
0.5936694 0.03148902
0.6222079 0.02821296
0.5648658 0.02906927
0.5847998 0.02748877
0.6161615 0.02960988
0.5973546 0.03083218
0.5605762 0.03156851
0.5023862 0.03025927
0.5279187 0.03023517
0.5500852 0.02954424
0.5632292 0.03042066
0.6280598 0.02806438
0.636488 0.02698296
0.6329157 0.02547275
0.6161797 0.02631567
0.6125676 0.02662766
0.6178026 0.02479198
0.6362127 0.02530821
0.5692357 0.02693623
0.5901207 0.027153
0.6400149 0.02652507
0.6868208 0.02521114
0.6649691 0.02523963
0.6710117 0.02594852
0.7158661 0.0270395
0.7044904 0.02529364
0.7169356 0.02511382
0.6648191 0.02863523
0.607941 0.02821907
0.5661656 0.02666297
0.5050677 0.02529477
0.5116109 0.02544375
0.4933256 0.027557
0.4830219 0.03022091
0.4609022 0.03111191
0.4408612 0.03057448
0.5142372 0.02944023
0.5425888 0.02746067
0.589566 0.02727134
0.5389195 0.02568398
0.5334023 0.02651763
0.5430355 0.02632445
0.5644746 0.0244779
0.5027097 0.02598544
0.552186 0.02756604
0.592834 0.0293853
0.5734334 0.02676275
0.5288293 0.0306003
0.5973625 0.02821591
0.5807826 0.02867357
0.5518626 0.02641335
0.504765 0.02708932
0.5093167 0.02381864
0.4642218 0.02138137
0.4970125 0.02301198
0.4983805 0.02146721
0.5140966 0.02294405
0.5602989 0.02327104
